Mnemonic,Long Name,Issuer Name,Security Type,Ticker,Asset_Class
UKRE,ISHRS MSCI TRGT UK REAL EST ETF GBP DIST,ISHARES III PLC,SP,UKRE.L,Alternatives
EUXS,ISHS MSCI EUR EX-UK £ HDG UCITS ETF DIST,ISHARES PLC,SP,EUXS.L,Global Equity
EMUU,ISHRS MSCI EMU USD HEDGED ETF (ACC),ISHARES VII PLC,SP,EMUU.L,Global Equity
IFSU,ISHS EDGE MSCI USA MULTIFAC ETF USD ACC,ISHARES IV PLC,SP,IFSU.L,Global Equity
IFSW,ISHS EDGE MSCI WRLD MULTIFAC ETF USD ACC,ISHARES IV PLC,SP,IFSW.L,Global Equity
IFSE,ISHS EDGE MSCI EUR MULTIFAC UCITS ETFACC,ISHARES IV PLC,SP,IFSE.L,Global Equity
IUCD,ISHRS S&P 500 CON DISC SECT ETF USD ACC,ISHARES V PLC,SP,IUCD.L,Global Equity
IUES,ISHRS S&P 500 ENERGY SECT ETF USD (ACC),ISHARES V PLC,SP,IUES.L,Alternatives
IUFS,ISHRS S&P 500 FIN SECT ETF USD (ACC),ISHARES V PLC,SP,IUFS.L,Global Equity
IUIT,ISHRS S&P 500 INF TECH SECT ETF USD ACC,ISHARES V PLC,SP,IUIT.L,Global Equity
IUHC,ISHRS S&P 500 HEALTH CR SECT ETF USD ACC,ISHARES V PLC,SP,IUHC.L,Global Equity
IMBS,ISHS US MTGE BKD SEC UCITS EFT USD DIST,ISHARES IV PLC,SP,IMBS.L,Fixed Income
SUAS,ISHS MSCI USA SRI UCITS ETF USD ACC,ISHARES IV PLC,SP,SUAS.L,Global Equity
IUSZ,ISHARES EDGE MSCI USA SIZE FACTOR,ISHARES IV PLC,SP,IUSZ.L,Global Equity
IUQA,ISHARES EDGE MSCI USA QUALITY FACTOR,ISHARES IV PLC,SP,IUQA.L,Global Equity
IUVL,ISHARES EDGE MSCI USA VALUE FACTOR,ISHARES IV PLC,SP,IUVL.L,Global Equity
IUMO,ISHARES EDGE MSCI USA MOMENTUM FACTOR,ISHARES IV PLC,SP,IUMO.L,Global Equity
OMXS,ISHARES OMX STOCKHOLM CAPPED UCITS ETF,ISHARES IV PLC,SP,OMXS.L,Global Equity
LQDA,ISHARES $ CORP BOND UCITS ETF USD (ACC),ISHARES PLC,SP,LQDA.L,Fixed Income
EMID,IS MSCI EUR MID CAP ETF EUR (DIST),ISHARES VI PLC,SP,EMID.L,Global Equity
EQDS,IS EUROPE QUALITY DIVIDEND EUR (DIST),ISHARES II PLC,SP,EQDS.L,Global Equity
ICOM,ISHARES DIVERSIFIED COMM SWP UCITS ETF,ISHARES VI PLC,SP,ICOM.L,Global Equity
GILE,ISH GLBL INF LINK GOV BND EUR HGD (DIST),ISHARES III PLC,SP,GILE.L,Fixed Income
DTLE,ISH $ TRSRY BOND 20+ YR UCITS € HGD DIST,ISHARES IV PLC,SP,DTLE.L,Fixed Income
SUSW,ISHARES MSCI WLD SRI UCITS EUR (ACC),ISHARES IV PLC,SP,SUSW.L,Global Equity
SUWS,ISHARES MSCI WLD SRI UCITS USD (ACC),ISHARES IV PLC,SP,SUWS.L,Global Equity
RBOD,ISHARES AUTOMAT & RBOT UCITS USD (DIST),ISHARES IV PLC,SP,RBOD.L,Global Equity
BTEC,ISHARES NASDAQ US BIOTEC UCITS USD (ACC),ISHARES IV PLC,SP,BTEC.L,Global Equity
ISFD,ISHARES COR FTSE 100 UCITS USD HDG (ACC),ISHARES PLC,SP,ISFD.L,UK Equity
HYLA,ISHARES GL HYLD CRP BOND UCITS USD (ACC),ISHARES PLC,SP,HYLA.L,Fixed Income
IGLA,ISHARES GL GOVT BOND UCITS USD (ACC),ISHARES III PLC,SP,IGLA.L,Fixed Income
IUQD,ISH USA QUALITY ETF USD DIST,ISHARES IV PLC,SP,IUQD.L,Global Equity
IUVD,ISH USA VALUE ETF USD DIST,ISHARES IV PLC,SP,IUVD.L,Global Equity
IUMD,ISH USA MOMENTUM ETF USD DIST,ISHARES IV PLC,SP,IUMD.L,Global Equity
UFSD,ISH USA MULTIFACTOR ETF USD DIST,ISHARES IV PLC,SP,UFSD.L,Global Equity
SPMD,ISH SP500 MIN VOL ETF USD DIST,ISHARES VI PLC,SP,SPMD.L,Global Equity
IEQD,ISH EUROPE QUALITY ETF EUR DIST,ISHARES IV PLC,SP,IEQD.L,Global Equity
IEDL,ISH EUROPE VALUE ETF EUR DIST,ISHARES IV PLC,SP,IEDL.L,Global Equity
IEMD,ISH EUROPE MOMENTUM ETF EUR DIST,ISHARES IV PLC,SP,IEMD.L,Global Equity
IFSD,ISH EUROPE MULTIFACTOR ETF EUR DIST,ISHARES IV PLC,SP,IFSD.L,Global Equity
MVED,ISH EUROPE MIN VOL ETF EUR DIST,ISHARES VI PLC,SP,MVED.L,Global Equity
ITPG,ISH $ TIPS ETF GBP HDG ACC,ISHARES II PLC,SP,ITPG.L,Fixed Income
