Mnemonic,Long Name,Issuer Name,Security Type,Ticker,Asset_Class,Geography
JPXX,LYX ETF JPXNIKKEI400(DR) DHGBP ACC TH,MULTI UNITS LUXEMBOURG,SP,JPXX.L,Global Equity,UK
SWIH,LYX ETF $ FLOATING RATE MH GBP DIS,LYXOR INDEX FUND,SP,SWIH.L,Alternatives,UK
USAU,LYXOR MSCI USA - DIST,MULTI UNITS FRANCE,SP,USAU.L,Global Equity,US
WLDD,LYXOR MSCI WORLD - DIST,MULTI UNITS FRANCE,SP,WLDD.L,Global Equity,Global
MVAU,LYX ETF FTSE USA MIN VAR ACC TH,MULTI UNITS LUXEMBOURG,SP,MVAU.L,Global Equity,US
UBIF,UBSETF BG BAR EUR INFL LNK 1-10 EUR ADIS,UBS ETF,SP,UBIF.L,Fixed Income,Europe
SEMC,UBSETF JPM USD EM DIV BOND 1-5 USD ADIS,UBS ETF,SP,SEMC.L,Fixed Income,US
MTXX,LYX ETF ALL-MAT INV GRD (DR) ACC TH,MULTI UNITS LUXEMBOURG,SP,MTXX.L,Fixed Income,Global
MTIX,LYX ETF EMTS INF LKD INV GR ACC TH,MULTI UNITS LUXEMBOURG,SP,MTIX.L,Fixed Income,Emerging Markets
ELLE,LYX ETF GLOB GENDER EQUALITY (DR) ACC,LYXOR INDEX FUND,SP,ELLE.L,Global Equity,Global
STEA,PIMCO US HY CORP BOND EUR AC,PIMCO ETFS PUBLIC LIMITED COMPANY,SP,STEA.L,Fixed Income,US
AWSG,UBS ETF ACWI SRI HDG GBP DIS,UBS (IRL) ETF PLC,SP,AWSG.L,Global Equity,UK
AWSR,UBS ETF ACWI SRI HDG USD ACC,UBS (IRL) ETF PLC,SP,AWSR.L,Global Equity,US
EPRE,AMUNDI FTSE EPRA EUROPE REAL ESTATE,AMUNDI INDEX SOLUTIONS ,SP,EPRE.L,Alternatives,Europe
CWEU,AMUNDI MSCI WORLD ENERGY,AMUNDI INDEX SOLUTIONS ,SP,CWEU.L,Alternatives,Global
CWFU,AMUNDI MSCI WORLD FINANCIALS,AMUNDI INDEX SOLUTIONS ,SP,CWFU.L,Global Equity,Global
BYBU,AMUNDI S&P 500 BUYBACK,AMUNDI INDEX SOLUTIONS ,SP,BYBU.L,Global Equity,US
LUXU,AMUNDI S&P GLOBAL LUXURY,AMUNDI INDEX SOLUTIONS ,SP,LUXU.L,Global Equity,US
MGTU,LYXOR DJ GLOBAL TITANS 50,MULTI UNITS FRANCE,SP,MGTU.L,Global Equity,Global
